id,file,title,routed,inNav,syntaxOk,hasNav,hasViewportMeta,hasDarkMode,hasMediaQuery,hasFullViewport,hasKeyboard,hasMouse,hasTouchPointer,hasInteractive,hasAnimation,usesCanvas,usesSvg,usesVideo
001,001.js,001 – The Factorial Heat Matrix — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false
002,002.js,002 – The R-Squared Race — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false
003,003.js,003 – The Cost-Quality Scatter — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false
004,004.js,004 – The Radar Spider — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
005,005.js,005 – The Variance Waterfall — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false
006,006.js,006 – The Box Plot Ballet — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
007,007.js,007 – The Sankey Flow — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,false,true,false
008,008.js,008 – The 3D Response Surface — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false
009,009.js,009 – Parallel Coordinates — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,true,true,true,false,true,false
010,010.js,010 – The Mosaic Matrix — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false
011,011.js,011 – The Coherence ECG — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
012,012.js,012 – The Phase Thermometer — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false
013,013.js,013 – The Entropy Clock — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
014,014.js,014 – The Progress Bar of Doom — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false
015,015.js,015 – The Sine Wave — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
016,016.js,016 – The Lorenz Butterfly — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,false,true,true,true,false,false
017,017.js,017 – The Flatline — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
018,018.js,018 – The Terminal Replay — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false
019,019.js,019 – The Frequency Waterfall — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,false,true,false,false
020,020.js,020 – The Matrix Rain — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
021,021.js,021 – The Health Bar Drain — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false
022,022.js,022 – NES Loading Screen — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false
023,023.js,023 – Pac-Man Spiral Chase — Claude Lost Its Mind,false,false,true,true,true,false,false,true,true,false,false,true,true,true,false,false
024,024.js,024 – Space Invaders DOE — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
025,025.js,025 – The Dungeon Map — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,false,true,true,true,false,false
026,026.js,026 – Game Over Screen — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false
027,027.js,027 – Tetris Collapse — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
028,028.js,028 – The Gameboy Screen — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,true,true,true,false,false,false
029,029.js,029 – The Progress Quest — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false
030,030.js,030 – Pixel Portrait — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
031,031.js,031 – The VHS Glitch — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,true,true,true,true,false,false
032,032.js,032 – Chromatic Aberration — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,true,true,true,false,false,false
033,033.js,033 – Pixel Sort — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
034,034.js,034 – The Databend — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false
035,035.js,035 – CRT Phosphor Burn — Claude Lost Its Mind,false,false,true,true,true,false,false,false,false,false,true,true,true,false,false,false
036,036.js,036 – Signal Interference — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
037,037.js,037 – The BSOD — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false
038,038.js,038 – Corrupted JSON — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false
039,039.js,039 – Glitch Mosaic — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
040,040.js,040 – The Broken Carousel — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false
041,041.js,041 – Word Gravity — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
042,042.js,042 – The Done Bubble Machine — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,false,true,true,true,false,false
043,043.js,043 – The Ignition Point — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,false,true,true,true,false,false
044,044.js,044 – The Constellation — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,false,true,true,true,false,false
045,045.js,045 – The Wrecking Ball — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,false,true,true,true,false,false
046,046.js,046 – Phantom Traffic Jam — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
047,047.js,047 – Confetti Shower — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
048,048.js,048 – The Sandfall — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
049,049.js,049 – Spring Mesh Network — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,false,true,true,true,false,false
050,050.js,050 – Fireworks Show — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,true,true,true,true,false,false
